Albania,Tirana,41.3275,19.8187
Alemania,Berlín,52.5200,13.4050
Andorra,Andorra la Vella,42.5075,1.5218
Armenia,Ereván,40.1792,44.4991
Austria,Vienna,48.2082,16.3738
Azerbaiyán,Bakú,40.4093,49.8671
Bélgica,Bruselas,50.8503,4.3517
Bielorrusia,Minsk,53.9045,27.5615
Bosnia y Herzegovina,Sarajevo,43.8564,18.4131
Bulgaria,Sofía,42.6977,23.3219
Chipre,Nicosia,35.1856,33.3823
Croacia,Zagreb,45.8150,15.9785
Dinamarca,Copenhague,55.6761,12.5683
Eslovaquia,Bratislava,48.1486,17.1077
Eslovenia,Liubliana,46.0569,14.5058
España,Madrid,40.4168,3.7038
Estonia,Tallin,59.4370,24.7536
Finlandia,Helsinki,60.1699,24.9384
Francia,París,48.8566,2.3522
Georgia,Tiflis,41.7151,44.8271
Grecia,Atenas,37.9838,23.7275
Hungría,Budapest,47.4979,19.0402
Irlanda,Dublín,53.3498,6.2603
Islandia,Reikiavik,64.1466,-21.9426
Italia,Roma,41.9028,12.4964
Kazajstán,Nur-Sultán,51.1605,71.4704
Letonia,Riga,56.9496,24.1052
Liechtenstein,Vaduz,47.1410,9.5215
Lituania,Vilna,54.6872,25.2797
Luxemburgo,Luxemburgo,49.8153,6.1296
Malta,La Valeta,35.8989,14.5146
Moldavia,Chisináu,47.0105,28.8638
Mónaco,Mónaco,43.7384,7.4246
Montenegro,Podgorica,42.4304,19.2594
Noruega,Oslo,59.9139,10.7522
Países Bajos,Ámsterdam,52.3702,4.8952
Polonia,Varsovia,52.2297,21.0122
Portugal,Lisboa,38.7223,-9.1393
Reino Unido,Londres,51.5074,-0.1278
República Checa,Praga,50.0755,14.4378
Dinamarca,Copenhague,55.6761,12.5683
Eslovaquia,Bratislava,48.1486,17.1077
Eslovenia,Liubliana,46.0569,14.5058
España,Madrid,40.4168,3.7038
Estonia,Tallin,59.4370,24.7536
Finlandia,Helsinki,60.1699,24.9384
Francia,París,48.8566,2.3522
Georgia,Tiflis,41.7151,44.8271
Grecia,Atenas,37.9838,23.7275
Hungría,Budapest,47.4979,19.0402
Irlanda,Dublín,53.3498,6.2603
Islandia,Reikiavik,64.1466,-21.9426
Italia,Roma,41.9028,12.4964
Kazajstán,Nur-Sultán,51.1605,71.4704
Letonia,Riga,56.9496,24.1052
Liechtenstein,Vaduz,47.1410,9.5215
Lituania,Vilna,54.6872,25.2797
Luxemburgo,Luxemburgo,49.8153,6.1296
Malta,La Valeta,35.8989,14.5146
Moldavia,Chisináu,47.0105,28.8638
Mónaco,Mónaco,43.7384,7.4246
Montenegro,Podgorica,42.4304,19.2594
Noruega,Oslo,59.9139,10.7522
Países Bajos,Ámsterdam,52.3702,4.8952
Polonia,Varsovia,52.2297,21.0122
Portugal,Lisboa,38.7223,-9.1393
Reino Unido,Londres,51.5074,-0.1278
Rumania,Bucarest,44.4268,26.1025
Rusia,Moscú,55.7558,37.6173
San Marino,San Marino,43.9424,12.4578
Serbia,Belgrado,44.7866,20.4489
Suecia,Estocolmo,59.3293,18.0686
Suiza,Berna,46.9480,7.4474
Turquía,Ankara,39.9208,32.8541
Ucrania,Kiev,50.4501,30.5234
Vaticano,Ciudad del Vaticano,41.9029,12.4534